Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,xG
Obed Vargas\9cc1fde4,FW,15,1,1,76,0.8,0,0,0.0
Cole Turner\30ec7b37,DF,19,1,0,7,0.1,0,0,0.0
Dantouma Toure\b5d2014f,FW,16,1,0,4,0.0,0,0,0.0
Andrew Tarbell\c5487a34,GK,27,1,1,90,1.0,0,0,0.0
Omar Sowe\310fd6d8,FW,20,1,0,21,0.2,0,0,0.0
Damien Rivera\2822f3dd,MF,18,1,0,29,0.3,0,0,0.0
Justin Rennicks\0aaa1c04,FW,21,1,0,2,0.0,0,0,0.0
Álvaro Quezada\621a4365,DF,21,1,0,22,0.2,0,0,0.0
Kyle Morton\3f394ec5,GK,26,1,1,90,1.0,0,0,0.0
Lucas Monzón\312755e2,DF,19,1,0,23,0.3,0,0,0.0
Alex Monis\66db9e72,FW,17,1,0,19,0.2,0,0,0.0
David Loera\0fae98f1,MF,22,1,0,22,0.2,0,0,0.0
Niccolo Lemoine\8ccbbaf8,FW,20,1,1,59,0.7,0,0,0.0
Foster Langsdorf\48319bb3,FW,25,1,0,33,0.4,0,0,0.1
Ismaila Jome\26f559ba,DF,26,1,0,6,0.1,0,0,0.0
Clint Irwin\c1205184,GK,31,1,1,90,1.0,0,0,0.0
Milan Iloski\4f87c75f,FW,21,1,0,2,0.0,0,0,0.0
Jack Gurr\2ade3d9e,DF,25,1,0,45,0.5,0,0,0.0
Liam Fraser\d784062b,MF,22,1,0,32,0.4,0,0,0.0
Julian Dunn-Johnson\220b5800,DF,20,1,1,90,1.0,0,0,0.0
Josh Drack\98a70879,MF,21,1,0,1,0.0,0,0,0.0
Irakoze Donasiyano\6195efdb,MF,22,1,0,28,0.3,0,0,0.0
Matheus Davó\e48e1310,FWMF,21,1,0,19,0.2,0,0,0.1
Jacob Davis\79d3a503,MF,19,1,0,2,0.0,0,0,0.0
Mario Daniel Vega\6904a59a,GK,36,1,1,90,1.0,0,0,0.0
Cody Cropper\aa133046,GK,27,1,1,90,1.0,0,0,0.0
José Bizama\fbcb25ab,DF,26,1,1,90,1.0,0,0,0.0
Sebastian Anderson\3a9911ce,DF,18,1,0,32,0.4,0,0,0.0
Ventura Alvarado\4c219392,DF,28,1,0,14,0.2,0,0,0.0
Robert Castellanos\e620dcbb,DF,22,1,1,90,1.0,1,0,0.1
Rida Zouhir\e1e65f24,MF,17,2,0,17,0.2,0,0,0.0
Owen Wolff\9edc70d6,MFFW,16,2,0,9,0.1,0,0,0.0
Patrick Weah\ae2ee5a5,FW,17,2,0,22,0.2,0,0,0.3
Alex Villanueva\c168f022,DFFW,18,2,0,9,0.1,0,0,0.0
Ballou Tabla\018bd079,DFMF,21,2,0,21,0.2,0,0,0.1
Ben Sweat\6937b1ac,DF,29,2,2,91,1.0,0,0,0.0
Hunter Sulte\92823044,GK,18,2,1,113,1.3,0,0,0.0
Spencer Richey\d9178ea2,GK,28,2,2,180,2.0,0,0,0.0
Justin Portillo\b7aa9657,MF,28,2,0,14,0.2,0,0,0.0
Rodrigo Piñeiro\d2a78b5e,MF,21,2,0,11,0.1,0,0,0.0
Joshua Penn\29c8decb,FW,20,2,0,20,0.2,0,0,0.0
Jason Pendant\22fe9049,DF,23,2,0,13,0.1,0,0,0.0
Michee Ngalina\9837830f,FW,20,2,1,52,0.6,0,0,0.1
Jordan Morris\bd298d0d,FWMF,26,2,0,76,0.8,0,0,0.0
Aimé Mabika\3a37d349,DF,22,2,2,180,2.0,0,0,0.0
Lisandro López\bc55bb5a,FW,37,2,2,140,1.6,0,0,0.2
Adam Grinwis\0d3f30b9,GK,28,2,2,180,2.0,0,0,0.0
Mandela Egbo\5603d397,DF,23,2,0,31,0.3,0,0,0.0
Juan Castillo\bd538c54,MF,16,2,0,12,0.1,0,0,0.0
Javier Casas\2ed8d81b,MF,17,2,0,56,0.6,0,0,0.0
Matheus Aiás\3ac4ee49,FWMF,24,2,0,15,0.2,0,0,0.0
Samuel Adeniran\86429529,FWMF,22,2,1,59,0.7,0,0,0.2
Danilo Acosta\41f720a5,DF,23,2,0,63,0.7,0,0,0.0
Florian Valot\ad454d78,MFDF,27,3,1,95,1.1,0,0,0.0
Kimarni Smith\bbbb244b,FW,22,3,1,100,1.1,0,0,0.1
Andrew Putna\5ba8a3f3,GK,26,3,2,225,2.5,0,0,0.0
Roberto Punčec\a97afc61,DF,29,3,2,130,1.4,0,0,0.1
Jonathan Perez\41e57408,FWDF,18,3,0,14,0.2,0,0,0.0
Vuk Latinovich\5c0e047a,DF,23,3,1,95,1.1,0,0,0.0
Franko Kovačević\dbe0034f,FW,21,3,0,41,0.5,0,0,0.0
Jonathan Klinsmann\1e29552f,GK,23,3,3,270,3.0,0,0,0.0
Freddy Kleemann\e068bed0,DF,21,3,0,49,0.5,0,0,0.0
Logan Ketterer\927c3059,GK,27,3,3,270,3.0,0,0,0.0
Kamron Habibullah\4deda098,MFFW,17,3,0,36,0.4,0,0,0.0
Alejandro Fuenmayor\77edb7ec,DF,24,3,3,270,3.0,0,0,0.0
Joe Bendik\c3e50b67,GK,31,3,2,212,2.4,0,0,0.0
Jeff Attinella\4277b946,GK,32,3,2,170,1.9,0,0,0.0
Raul Aguilera Jr.\7b6113d9,MF,21,3,0,95,1.1,0,0,0.0
Dayne St. Clair\3f41d25f,GK,23,4,4,360,4.0,0,0,0.0
Erik Sorga\02ba67a2,FW,21,4,3,249,2.8,0,0,0.4
Chris Seitz\8b388dd5,GK,33,4,4,360,4.0,0,0,0.0
Kyle Scott\1c24aacf,MF,23,4,1,92,1.0,0,0,0.1
Andy Polo\d886b9b9,FWMF,26,4,3,184,2.0,0,0,0.0
Tom Pettersson\c1268aa3,DF,30,4,4,359,4.0,0,0,0.8
Alexandre Pato\7dd83c7d,FWMF,31,4,1,107,1.2,0,0,0.5
Arquimides Ordonez\8941d9b2,FWDF,17,4,0,40,0.4,0,0,0.0
Oliver Larraz\ecdbe767,MFFW,19,4,0,24,0.3,0,0,0.2
Jordan Harvey\bb78f8a5,DF,37,4,0,9,0.1,0,0,0.0
Carlos Harvey\3f18600c,MF,20,4,1,138,1.5,0,0,0.0
Siad Haji\9212f1cb,FWMF,21,4,0,49,0.5,0,0,0.1
Marcus Godinho\27854bf6,DF,23,4,1,115,1.3,0,0,0.1
Chris Gloster\01cd3c12,DF,20,4,1,69,0.8,0,0,0.0
Chris Duvall\39fae08b,DF,29,4,0,89,1.0,0,0,0.0
Amadou Dia\1650e261,DF,27,4,1,104,1.2,0,0,0.0
Jordy Delem\12e3a5f4,MFDF,27,4,1,37,0.4,0,0,0.0
Alex DeJohn\2a6c024c,DF,29,4,1,125,1.4,0,0,0.1
Luís Caicedo\008ddeb9,MF,24,4,2,191,2.1,0,0,0.0
Handwalla Bwana\b56080ee,FW,23,4,1,98,1.1,0,0,0.6
Evan Bush\69a57596,GK,34,4,4,360,4.0,0,0,0.0
Reed Baker-Whiting\816d7aec,MFFW,15,4,2,201,2.2,0,0,0.8
Theo Bair\c724745e,FW,21,4,0,30,0.3,0,0,0.0
Edison Azcona\05f54837,FW,17,4,0,50,0.6,0,0,0.0
Mikey Ambrose\f649d6aa,DFMF,27,4,1,65,0.7,0,0,0.0
Kwadwo Opoku\226a288e,FW,19,4,2,250,2.8,0,1,0.2
Dylan Nealis\24f4dd87,DF,22,4,2,150,1.7,0,1,0.0
Mason Stajduhar\f01df62c,GK,23,5,5,450,5.0,0,0,0.0
Tony Rocha\85538cdd,MFFW,27,5,0,28,0.3,0,0,0.7
Kaveh Rad\ec7cb356,DF,19,5,2,246,2.7,0,0,0.0
Alvas Powell\2f91124d,DF,26,5,4,310,3.4,0,0,0.1
Aaron Long\46b89640,DF,28,5,5,450,5.0,0,0,0.3
Perry Kitchen\19ec49ee,MF,28,5,3,204,2.3,0,0,0.1
Alec Kann\4a8af93c,GK,30,5,5,450,5.0,0,0,0.0
Aljaž Ivačič\4d6e50d8,GK,27,5,4,411,4.6,0,0,0.0
Ilsinho\aa8683ae,DFMF,35,5,0,83,0.9,0,0,0.2
Danny Hoesen\5ef1939b,FW,30,5,5,304,3.4,0,0,1.4
Derek Cornelius\577744b8,DFFW,23,5,1,145,1.6,0,0,0.0
Brandon Austin\5e253986,GK,22,5,5,450,5.0,0,0,0.0
Daniel Aguirre\ecc5063f,MFFW,21,5,0,34,0.4,0,0,0.2
Luis Barraza\e6f22a6b,GK,24,5,5,450,5.0,0,1,0.0
Brian White\54c948de,MFFW,24,5,3,194,2.2,0,1,0.2
Dominique Badji\758ac389,FW,28,5,2,188,2.1,0,1,1.1
Nathan Harriel\b3edbeff,DF,19,5,2,180,2.0,0,1,0.3
Jordan Perruzza\edc8791f,FW,20,5,0,140,1.6,1,0,1.0
Matko Miljevic\74b76abc,FWMF,19,5,2,141,1.6,1,0,0.1
Joseph Rosales\6a29d06b,MFFW,20,6,0,112,1.2,0,0,0.0
John Pulskamp\6b306c92,GK,19,6,6,540,6.0,0,0,0.0
Isaiah Parente\6dbc74d6,MFFW,20,6,2,213,2.4,0,0,0.0
Douglas Martinez\3e7ebb9a,FW,23,6,0,55,0.6,0,0,0.0
Brad Knighton\9903a3cb,GK,35,6,6,540,6.0,0,0,0.0
Cal Jennings\44f6672a,FW,23,6,2,129,1.4,0,0,0.5
Ian Hoffmann\c0243229,DF,19,6,2,250,2.8,0,0,0.0
Michael Halliday\6ad5f50e,DF,18,6,4,381,4.2,0,0,0.1
Matt Freese\2f49476c,GK,22,6,6,506,5.6,0,0,0.0
Kalil ElMedkhar\272c1aaf,FWMF,21,6,0,124,1.4,0,0,0.0
Jesús Daniel Bueno\b5687b08,MF,21,6,0,31,0.3,0,0,0.0
Artur\ea6803c7,MF,24,6,5,431,4.8,0,0,0.4
Mo Adams\00362ef7,MF,24,6,2,148,1.6,0,0,0.0
Luke Singh\9ae196a0,DF,20,6,5,446,5.0,1,0,0.8
Felipe Hernandez\31a4d0b8,MF,22,6,4,407,4.5,1,2,1.4
